Size_Decile,HBI_Quintile,Alpha_Daily,Alpha_Annualized,Beta_Mktrf,Beta_Smb,Beta_Hml,Beta_Umd,Residual_Std,R_Squared,N_Observations
1,1,-0.0012789562240840809,-0.2756664195466728,0.5496029768434391,0.5773639399730737,-0.20194151224519924,-0.25771044431923085,0.015260094610138115,0.321634814084918,2897267
1,2,-0.0006413098116128049,-0.14927122607882148,0.5957891054330346,0.5413984615601779,-0.09152259843134886,-0.2480838448426544,0.018131092182859795,0.24663170025460157,2897267
1,3,-0.0006151191745574942,-0.14363425882840852,0.5448070243832921,0.5294066441107719,-0.0645665685671686,-0.21106853709107778,0.016329858098465936,0.25151369139159097,2897267
1,4,-0.0010945849910136806,-0.24117681809325897,0.5057273908805873,0.4777914693983857,-0.044665706941041286,-0.1964715415124617,0.012843635927843041,0.3140334489936102,2897267
1,5,-0.00045623654786249246,-0.10863193534547955,0.5189080570336395,0.47551833408312055,-0.07949304351229027,-0.12926342016604458,0.013745100744960907,0.2726908899082293,2897267
2,1,-0.0008643688537015309,-0.19580632076122273,0.6808925005471888,0.7950300138434867,-0.27444674481764814,-0.08608032155094789,0.011272991484827832,0.5207818493216048,2897267
2,2,-0.0006922454202234434,-0.16012839787787414,0.6426922895170889,0.8158070278651544,-0.1757949816271845,-0.1883353762000048,0.011442549810580863,0.5188877622591148,2897267
2,3,0.0001539331774555286,0.03955025801072143,0.5698997402113222,0.7371458832652289,-0.20616661072951065,-0.16109533148568744,0.010031115039042263,0.5325687995536816,2897267
2,4,0.00015654558990348065,0.04023474201123567,0.5477043051946358,0.621542088320189,-0.09053067801362176,-0.0826404778878102,0.009614361877562313,0.4716863633818732,2897267
2,5,9.063128772328292e-05,0.02310083454120715,0.5744596103592511,0.3995255138574785,0.017723102050384104,-0.13391057308407772,0.011782757483388364,0.3396625044865147,2897267
3,1,-0.00040294045015843024,-0.09657434367391082,0.933100156851286,1.2773308110416899,-0.4780742370883743,-0.05976793706148351,0.010404034152558559,0.7257549159137506,2897267
3,2,-0.0004633502219223265,-0.11022914496194758,0.8253283746623297,1.3398768935011582,-0.36901528476298906,-0.12618938280187805,0.010393048751028006,0.7111770283818956,2897267
3,3,0.0002018350472993501,0.052172737203856956,0.7696993374290698,1.0895964379949732,-0.12471758205823524,-0.10076772440167903,0.008825198928949524,0.7078527566506854,2897267
3,4,0.00021051032613151238,0.05447500695127805,0.746819047741999,0.8403167131186244,0.01712508716643063,-0.047445269002868516,0.0073739778824356,0.714900642300413,2897267
3,5,7.106197877044e-05,0.01806827372288322,0.6274068003330484,0.6918051289273399,0.09297147523588976,-0.05665535477334988,0.007113026127080474,0.6523007967325534,2897267
4,1,-0.0005450517019906781,-0.128370189766419,1.141589407067193,1.6939303514337591,-0.4877498829314981,-0.13184147370352964,0.008022975245482247,0.8768534655717366,2897267
